,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,vaini,0,IN,1559447536,74,15.34,74.49,299.15,3.1
1,ponta do sol,0,BR,1559447536,93,-20.63,-46.0,289.715,0.58
2,barrow,59,AR,1559447537,51,-38.31,-60.23,283.915,3.89
3,denia,0,ES,1559447537,58,38.84,0.11,290.93,1.78
4,puerto ayora,34,EC,1559447431,95,-0.74,-90.35,296.48,3.59
5,khatanga,62,RU,1559447537,69,71.98,102.47,281.315,3.27
6,robore,100,BO,1559447537,91,-18.33,-59.76,290.215,1.99
7,ushuaia,75,AR,1559447537,69,-54.81,-68.31,277.15,7.2
8,mokhsogollokh,95,RU,1559447537,64,61.4,128.95,287.815,2.74
9,albany,90,US,1559447374,72,42.65,-73.75,293.15,4.6
10,puerto montt,90,CL,1559447538,87,-41.47,-72.94,285.15,7.7
11,teahupoo,20,PF,1559447538,66,-17.83,-149.27,302.15,3.1
12,butaritari,45,KI,1559447538,70,3.07,172.79,302.415,2.78
13,punta arenas,90,CL,1559447538,86,-53.16,-70.91,278.15,11.3
14,saldanha,97,PT,1559447538,46,41.42,-6.55,289.115,1.11
15,hermanus,94,ZA,1559447538,98,-34.42,19.24,285.93,4.5
16,coquimbo,0,CL,1559447356,93,-29.95,-71.34,284.82,2.6
17,sisimiut,40,GL,1559447539,84,66.94,-53.67,275.315,5.15
18,tiksi,86,RU,1559447539,94,71.64,128.87,274.015,4.29
19,namatanai,56,PG,1559447539,84,-3.66,152.44,300.615,5.37
20,upernavik,1,GL,1559447539,92,72.79,-56.15,272.715,4.64
21,labuhan,90,ID,1559447539,54,-2.54,115.51,306.615,0.06
22,jaguaribe,30,BR,1559447539,90,-5.88,-38.62,294.515,1.56
23,tasiilaq,0,GL,1559447539,100,65.61,-37.64,270.15,1.5
24,jamestown,22,AU,1559447540,56,-33.21,138.6,288.115,4.6
25,mataura,94,NZ,1559447540,77,-46.19,168.86,283.15,1.76
26,sambava,74,MG,1559447540,98,-14.27,50.17,291.515,1.4
27,avarua,1,CK,1559447540,74,-21.21,-159.78,299.15,6.7
28,hobart,75,AU,1559447406,87,-42.88,147.33,283.15,3.1
29,cayenne,84,GF,1559447541,100,4.94,-52.33,297.15,1.5
30,busselton,0,AU,1559447541,28,-33.64,115.35,294.82,7.23
31,rikitea,100,PF,1559447541,79,-23.12,-134.97,296.215,10.88
32,airai,41,TL,1559447541,54,-8.93,125.41,303.015,3.75
33,mandeville,40,JM,1559447541,83,18.04,-77.51,300.15,2.6
34,rio grande,0,BR,1559447541,91,-32.03,-52.1,285.715,0.48
35,kruisfontein,41,ZA,1559447542,97,-34.0,24.73,285.915,3.26
36,faanui,0,PF,1559447542,69,-16.48,-151.75,300.915,4.18
